NSE Symbol,BSE Code,Industry,Sector,FY,Filing_Date,Window_Start,Window_End,n_trading_days,cum_return,cum_mkt_return,mar_log,mar_pct,iar_pct,sar_pct
TATAINVEST,501301,Asset Management,Financial Services,FY25,2024-10-18,2024-10-21,2025-10-28,252,0.21151141383339722,0.01586350129873997,0.1761296914557765,0.1925927177071815,-0.04652686763014241,0.06856333937928932
BALKRISIND,502355,Auto Parts,Consumer Cyclical,FY25,2024-10-21,2024-10-22,2025-10-29,252,-0.19585064992201104,0.029623994524626215,-0.24716394998430938,-0.2189873639752715,-0.20850565002582142,-0.23107525128454345
PHOENIXLTD,503100,Real Estate - Diversified,Real Estate,FY25,2024-10-18,2024-10-21,2025-10-28,252,0.0126968921606359,0.01586350129873997,-0.0031220285286140126,-0.0031171600653588675,0.019166617931923167,0.14573996392970234
SRF,503806,Conglomerates,Industrials,FY25,2024-10-18,2024-10-21,2025-10-28,252,0.3133044363145359,0.01586350129873997,0.2568074405782506,0.2927961627084051,0.3610119042476191,0.41327983649335076
SARDAEN,504614,Steel,Basic Materials,FY25,2024-10-18,2024-10-21,2025-10-28,252,0.0960643085425268,0.01586350129873997,0.07598687146673559,0.07894840905422174,0.0,0.04425732393587869
CHOLAHLDNG,504973,Credit Services,Financial Services,FY25,2024-10-15,2024-10-16,2025-10-23,252,-0.036113901731240385,0.0008510881305343116,-0.03763287283574074,-0.03693355615051657,-0.14290130835755013,-0.17906197618534828
EICHERMOT,505200,Auto Manufacturers,Consumer Cyclical,FY25,2024-10-18,2024-10-21,2025-10-28,252,0.4157259727788657,0.01586350129873997,0.33190346347967054,0.39361830695651323,0.17867913623904522,0.3805013714163333
SCHAEFFLER,505790,Auto Parts,Consumer Cyclical,FY25,2024-10-11,2024-10-14,2025-10-20,252,-0.0176661961170273,0.004440663216687299,-0.022254938464597862,-0.02200912422533565,-0.030321196220837683,-0.052890797479559715
BAYERCROP,506285,Agricultural Inputs,Basic Materials,FY25,2024-10-15,2024-10-16,2025-10-23,252,-0.2238512722143446,0.0008510881305343116,-0.2542618438060558,-0.2245112814580589,-0.37031803644999595,-0.2756582568209927
DEEPAKNTR,506401,Chemicals,Basic Materials,FY25,2024-10-15,2024-10-16,2025-10-23,252,-0.3963918020336361,0.0008510881305343116,-0.5056806965545169,-0.39690508895401305,-0.5241424902981986,-0.44819878664028423
ASTRAZEN,506820,Drug Manufacturers - Specialty & Generic,Healthcare,FY25,2024-10-15,2024-10-16,2025-10-23,252,0.21462796468393394,0.0008510881305343116,0.19358710183651312,0.21359508830899943,0.2833366139485499,0.23537030868466827
JBCHEPHARM,506943,Drug Manufacturers - Specialty & Generic,Healthcare,FY25,2024-10-18,2024-10-21,2025-10-28,252,-0.12441942933780512,0.01586350129873997,-0.14860709433651975,-0.13809230320530178,-0.05571078007318914,-0.10367708533707079
WIPRO,507685,Information Technology Services,Technology,FY25,2024-10-10,2024-10-11,2025-10-17,252,-0.018368697271515317,-4.221067047317127e-06,-0.018535275522742173,-0.018364553722480557,-0.039806641483728505,-0.05911585087911403
APOLLOHOSP,508869,Medical Care Facilities,Healthcare,FY25,2024-10-17,2024-10-18,2025-10-27,252,0.10934885532002872,0.01984430810732826,0.08412324983328692,0.08776295214983053,-0.09172146845651985,0.13009119932076305
SUPREMEIND,509930,Building Products & Equipment,Industrials,FY25,2024-10-16,2024-10-17,2025-10-24,252,-0.18280824096928197,0.0005681212060113779,-0.20244946037283906,-0.18327224132852138,-0.010398484415951398,-0.08283284079046715
